id,start_ip_range,end_ip_range,is_fw,is_lp,type,is_v6
134,51C8978F,51C8978F,1,0,90,0
135,727419B6,727419B6,1,0,90,0
136,2401C08014006E50540004FFFE5BBB35,2401C08014006E50540004FFFE5BBB35,1,0,90,1
137,2D288574,2D288574,1,0,90,0
138,12E6AF1A,12E6AF1A,1,0,90,0
139,26960D40,26960D40,1,0,90,0
140,8EAB9733,8EAB9733,1,0,90,0
141,36250B1C,36250B1C,1,0,90,0
142,2BE6CA86,2BE6CA86,1,0,90,0
143,50524D02,50524D02,1,0,90,0
144,87B53E3E,87B53E3E,1,0,90,0
145,B9F3DA59,B9F3DA59,1,0,90,0
146,A16195E7,A16195E7,1,0,90,0
147,0FCCD057,0FCCD057,1,0,90,0
148,8B3B4E1E,8B3B4E1E,1,0,90,0
149,88F35C5C,88F35C5C,1,0,90,0
150,D161A851,D161A851,1,0,90,0
151,338816B6,338816B6,1,0,90,0
152,4F8B3B11,4F8B3B11,1,0,90,0
153,C1B04E8E,C1B04E8E,1,0,90,0
154,C5F31705,C5F31705,1,0,90,0
155,48A78D39,48A78D39,1,0,90,0
156,2D429934,2D429934,1,0,90,0
157,2D372D33,2D372D33,1,0,90,0
158,8A44515D,8A44515D,1,0,90,0
159,43CD8844,43CD8844,1,0,90,0
160,C6C7521A,C6C7521A,1,0,90,0
161,225C5167,225C5167,1,0,90,0
162,0FEB4132,0FEB4132,1,0,90,0
163,82B94DE5,82B94DE5,1,0,90,0
164,679DD926,679DD926,1,0,90,0
165,2F719156,2F719156,1,0,90,0
166,B0090551,B0090551,1,0,90,0
167,8D5EBE15,8D5EBE15,1,0,90,0
168,2762DEA5,2762DEA5,1,0,90,0
169,80417EE8,80417EE8,1,0,90,0
170,C62652C0,C62652C0,1,0,90,0
171,67761D63,67761D63,1,0,90,0
172,6FAD53BE,6FAD53BE,1,0,90,0
173,59D09937,59D09937,1,0,90,0
174,2A010E0A01B6FF70D63D7EFFFEF8B73C,2A010E0A01B6FF70D63D7EFFFEF8B73C,1,0,90,1
175,0D473116,0D473116,1,0,90,0
176,67B47842,67B47842,1,0,90,0
177,2A0B6900000000010000000000000100,2A0B6900000000010000000000000100,1,0,90,1
178,3DC4B2F7,3DC4B2F7,1,0,90,0
179,529CB3C4,529CB3C4,1,0,90,0
180,9DF533DB,9DF533DB,1,0,90,0
181,511C0515,511C0515,1,0,90,0
182,52DF19AE,52DF19AE,1,0,90,0
183,6794710B,6794710B,1,0,90,0
184,AF64965A,AF64965A,1,0,90,0
185,34B3B9AA,34B3B9AA,1,0,90,0
186,08D14AB8,08D14AB8,1,0,90,0
187,B2809FC2,B2809FC2,1,0,90,0
188,32741D88,32741D88,1,0,90,0
189,9DE62FB5,9DE62FB5,1,0,90,0
190,189060A9,189060A9,1,0,90,0
191,4AD0212C,4AD0212C,1,0,90,0
192,5CCC90BB,5CCC90BB,1,0,90,0
193,2A0104F8013B176A0000000000000002,2A0104F8013B176A0000000000000002,1,0,90,1
194,C2E94039,C2E94039,1,0,90,0
195,672941B5,672941B5,1,0,90,0
196,037BE122,037BE122,1,0,90,0
197,2A0340000000032454A918FFFE599091,2A0340000000032454A918FFFE599091,1,0,90,1
198,95FF3E3C,95FF3E3C,1,0,90,0
199,200141D0000A55A80000000000000000,200141D0000A55A80000000000000000,1,0,90,1
200,1FDEEBC8,1FDEEBC8,1,0,90,0
201,5CCC37A9,5CCC37A9,1,0,90,0
202,5B79E851,5B79E851,1,0,90,0
203,634FB148,634FB148,1,0,90,0
204,2DE4D292,2DE4D292,1,0,90,0
205,339F6324,339F6324,1,0,90,0
206,67D61634,67D61634,1,0,90,0
207,B92E0E9D,B92E0E9D,1,0,90,0
208,05BCD22A,05BCD22A,1,0,90,0
209,44B29528,44B29528,1,0,90,0
210,2BF56F54,2BF56F54,1,0,90,0
211,689CF99A,689CF99A,1,0,90,0
212,B9B12F19,B9B12F19,1,0,90,0
213,8BB48979,8BB48979,1,0,90,0
214,784C2CE1,784C2CE1,1,0,90,0
215,43E1A0BC,43E1A0BC,1,0,90,0
216,BCA6FBD9,BCA6FBD9,1,0,90,0
217,D471DA1A,D471DA1A,1,0,90,0
218,CEBD1840,CEBD1840,1,0,90,0
219,CA830412,CA830412,1,0,90,0
220,C62CAD58,C62CAD58,1,0,90,0
221,D9C3395D,D9C3395D,1,0,90,0
222,228ED12C,228ED12C,1,0,90,0
223,2F6CC51A,2F6CC51A,1,0,90,0
224,CF9ACC22,CF9ACC22,1,0,90,0
225,33512801,33512801,1,0,90,0
226,67FFBE7B,67FFBE7B,1,0,90,0
227,96E662B0,96E662B0,1,0,90,0
228,4DEE7862,4DEE7862,1,0,90,0
229,9022AC53,9022AC53,1,0,90,0
230,BD71A613,BD71A613,1,0,90,0
231,B96205B6,B96205B6,1,0,90,0
232,D13A9419,D13A9419,1,0,90,0
233,05BCD25B,05BCD25B,1,0,90,0
234,A7AC5F88,A7AC5F88,1,0,90,0
235,1400938B,1400938B,1,0,90,0
236,B9DCCE73,B9DCCE73,1,0,90,0
237,48A7080F,48A7080F,1,0,90,0
238,677C5CC8,677C5CC8,1,0,90,0
239,7C7B4CD2,7C7B4CD2,1,0,90,0
240,867A2496,867A2496,1,0,90,0
241,84948008,84948008,1,0,90,0
242,BB310934,BB310934,1,0,90,0
243,74CA31C8,74CA31C8,1,0,90,0
244,5B86F8D3,5B86F8D3,1,0,90,0
245,4706A571,4706A571,1,0,90,0
246,2406EF80000173540000000000000001,2406EF80000173540000000000000001,1,0,90,1
247,310D53B0,310D53B0,1,0,90,0
248,334FFFD3,334FFFD3,1,0,90,0
249,6B068D6A,6B068D6A,1,0,90,0
250,12B5AB2B,12B5AB2B,1,0,90,0
251,B221F8C3,B221F8C3,1,0,90,0
252,C05F1D33,C05F1D33,1,0,90,0
253,6BB45E0D,6BB45E0D,1,0,90,0
254,CA407CD7,CA407CD7,1,0,90,0
255,AF75907A,AF75907A,1,0,90,0
256,08DA2AD4,08DA2AD4,1,0,90,0
257,6F446126,6F446126,1,0,90,0
258,334FB246,334FB246,1,0,90,0
259,5B79B357,5B79B357,1,0,90,0
260,D453A478,D453A478,1,0,90,0
261,D06D0FA1,D06D0FA1,1,0,90,0
262,823314B3,823314B3,1,0,90,0
263,9DF510AF,9DF510AF,1,0,90,0
264,339E674E,339E674E,1,0,90,0
265,ADF9135E,ADF9135E,1,0,90,0
266,7CD9E2CF,7CD9E2CF,1,0,90,0
267,A5E8A5B9,A5E8A5B9,1,0,90,0
268,6D466447,6D466447,1,0,90,0
269,ADD4F04C,ADD4F04C,1,0,90,0
270,67949C30,67949C30,1,0,90,0
271,2E6961BA,2E6961BA,1,0,90,0
272,2E040339,2E040339,1,0,90,0
273,CAD6313E,CAD6313E,1,0,90,0
274,771C4E36,771C4E36,1,0,90,0
275,8B3B180F,8B3B180F,1,0,90,0
276,2A0104F9004B41040000000000000002,2A0104F9004B41040000000000000002,1,0,90,1
277,8AC59D9B,8AC59D9B,1,0,90,0
278,45317042,45317042,1,0,90,0
279,3359DA5D,3359DA5D,1,0,90,0
280,4531703F,4531703F,1,0,90,0
281,45317041,45317041,1,0,90,0
282,A16195EB,A16195EB,1,0,90,0
283,176FCAF3,176FCAF3,1,0,90,0
284,2CE9289F,2CE9289F,1,0,90,0
285,1F189FCC,1F189FCC,1,0,90,0
286,25200A2B,25200A2B,1,0,90,0
287,969E4DAA,969E4DAA,1,0,90,0
288,5877B059,5877B059,1,0,90,0
289,2A018740FFFFFFFB00004EFFFE803CD8,2A018740FFFFFFFB00004EFFFE803CD8,1,0,90,1
290,6CAA0B2A,6CAA0B2A,1,0,90,0
291,240B4001021ADBFF26F69117C4525399,240B4001021ADBFF26F69117C4525399,1,0,90,1
292,05908204,05908204,1,0,90,0
293,2401C08014004156540003FFFEEE2ECE,2401C08014004156540003FFFEEE2ECE,1,0,90,1
294,91EFD0F9,91EFD0F9,1,0,90,0
295,B8A865A0,B8A865A0,1,0,90,0
296,67795AB7,67795AB7,1,0,90,0
297,6DEAA140,6DEAA140,1,0,90,0
298,48A77CBB,48A77CBB,1,0,90,0
299,5CCC8B19,5CCC8B19,1,0,90,0
300,08DBBE68,08DBBE68,1,0,90,0
301,147D9361,147D9361,1,0,90,0
302,2A0104F9003A109D0000000000000002,2A0104F9003A109D0000000000000002,1,0,90,1
303,2A0104F80C0C657B0000000000000001,2A0104F80C0C657B0000000000000001,1,0,90,1
304,ADE7E60A,ADE7E60A,1,0,90,0
305,A21355F4,A21355F4,1,0,90,0
306,D071BC65,D071BC65,1,0,90,0
307,296FAC30,296FAC30,1,0,90,0
308,C4BD7754,C4BD7754,1,0,90,0
309,C807A0F6,C807A0F6,1,0,90,0
310,C02A74BB,C02A74BB,1,0,90,0
311,5B6B965C,5B6B965C,1,0,90,0
312,679F4032,679F4032,1,0,90,0
313,74CE3ED6,74CE3ED6,1,0,90,0
314,2607F1C0180081F90000000000000001,2607F1C0180081F90000000000000001,1,0,90,1
315,7DD4D6D9,7DD4D6D9,1,0,90,0
316,8D5E5743,8D5E5743,1,0,90,0
317,D9B62951,D9B62951,1,0,90,0
318,AA40A599,AA40A599,1,0,90,0
319,D2D36F58,D2D36F58,1,0,90,0
320,05A1C627,05A1C627,1,0,90,0
321,BF603404,BF603404,1,0,90,0
322,6765A23C,6765A23C,1,0,90,0
323,A516D869,A516D869,1,0,90,0
324,0D7E2999,0D7E2999,1,0,90,0
325,867A64F7,867A64F7,1,0,90,0
326,9F4182B6,9F4182B6,1,0,90,0
327,7BFE6C82,7BFE6C82,1,0,90,0
328,9A27C78A,9A27C78A,1,0,90,0
329,059083EF,059083EF,1,0,90,0
330,CA5C0422,CA5C0422,1,0,90,0
331,7CDDA8FD,7CDDA8FD,1,0,90,0
332,8D5E10C1,8D5E10C1,1,0,90,0
